"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00075,0,0.0001,294.82,0,0,0,0,0,1,0,0,0,0,4680
0.00075,3.8333e-06,0.0001,299.71,0,0,0,0,0,1,0,0,0,0,4680
0.00076,0,0.0001,294.17,0,0,0,0,0,1,0,0,0,0,4680
0.00076,3.8333e-06,0.0001,297.2,0,0,0,0,0,1,0,0,0,0,4680
0.00077,0,0.0001,293.77,0,0,0,0,0,1,0,0,0,0,4680
0.00077,3.8333e-06,0.0001,295.61,0,0,0,0,0,1,0,0,0,0,4680
0.00078,0,0.0001,293.52,0,0,0,0,0,1,0,0,0,0,4680
0.00078,3.8333e-06,0.0001,294.63,0,0,0,0,0,1,0,0,0,0,4680
0.00079,0,0.0001,293.37,0,0,0,0,0,1,0,0,0,0,4680
0.00079,3.8333e-06,0.0001,294.03,0,0,0,0,0,1,0,0,0,0,4680
0.0008,0,0.0001,293.28,0,0,0,0,0,1,0,0,0,0,4680
0.0008,3.8333e-06,0.0001,293.68,0,0,0,0,0,1,0,0,0,0,4680
0.00081,0,0.0001,293.23,0,0,0,0,0,1,0,0,0,0,4680
0.00081,3.8333e-06,0.0001,293.46,0,0,0,0,0,1,0,0,0,0,4680
0.00082,0,0.0001,293.2,0,0,0,0,0,1,0,0,0,0,4680
0.00082,3.8333e-06,0.0001,293.33,0,0,0,0,0,1,0,0,0,0,4680
0.00083,0,0.0001,293.18,0,0,0,0,0,1,0,0,0,0,4680
0.00083,3.8333e-06,0.0001,293.26,0,0,0,0,0,1,0,0,0,0,4680
0.00084,0,0.0001,293.17,0,0,0,0,0,1,0,0,0,0,4680
0.00084,3.8333e-06,0.0001,293.21,0,0,0,0,0,1,0,0,0,0,4680
0.00085,0,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00085,3.8333e-06,0.0001,293.19,0,0,0,0,0,1,0,0,0,0,4680
0.00086,0,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00086,3.8333e-06,0.0001,293.17,0,0,0,0,0,1,0,0,0,0,4680
0.00087,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00087,3.8333e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00088,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00088,3.8333e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00089,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00089,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.0009,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.0009,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00091,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00091,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00092,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00092,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00093,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00093,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00094,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00094,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00095,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00095,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00096,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00096,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00097,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00097,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00098,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00098,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00099,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00099,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.001,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.001,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
1e-05,7.6667e-06,0.0001,293.43,0,0,0,0,0,1,0,0,0,0,4680
0,7.6667e-06,0.0001,293.22,0,0,0,0,0,1,0,0,0,0,4680
2e-05,7.6667e-06,0.0001,293.71,0,0,0,0,0,1,0,0,0,0,4680
3e-05,7.6667e-06,0.0001,294,0,0,0,0,0,1,0,0,0,0,4680
4e-05,7.6667e-06,0.0001,294.31,0,0,0,0,0,1,0,0,0,0,4680
5e-05,7.6667e-06,0.0001,294.64,0,0,0,0,0,1,0,0,0,0,4680
6e-05,7.6667e-06,0.0001,295.01,0,0,0,0,0,1,0,0,0,0,4680
7e-05,7.6667e-06,0.0001,295.4,0,0,0,0,0,1,0,0,0,0,4680
8e-05,7.6667e-06,0.0001,295.84,0,0,0,0,0,1,0,0,0,0,4680
9e-05,7.6667e-06,0.0001,296.32,0,0,0,0,0,1,0,0,0,0,4680
0.0001,7.6667e-06,0.0001,296.86,0,0,0,0,0,1,0,0,0,0,4680
0.00011,7.6667e-06,0.0001,297.46,0,0,0,0,0,1,0,0,0,0,4680
0.00012,7.6667e-06,0.0001,298.12,0,0,0,0,0,1,0,0,0,0,4680
0.00013,7.6667e-06,0.0001,298.85,0,0,0,0,0,1,0,0,0,0,4680
0.00014,7.6667e-06,0.0001,299.66,0,0,0,0,0,1,0,0,0,0,4680
0.00015,7.6667e-06,0.0001,300.55,0,0,0,0,0,1,0,0,0,0,4680
0.00016,7.6667e-06,0.0001,301.53,0,0,0,0,0,1,0,0,0,0,4680
0.00017,7.6667e-06,0.0001,302.61,0,0,0,0,0,1,0,0,0,0,4680
0.00018,7.6667e-06,0.0001,303.79,0,0,0,0,0,1,0,0,0,0,4680
0.00019,7.6667e-06,0.0001,305.08,0,0,0,0,0,1,0,0,0,0,4680
0.0002,7.6667e-06,0.0001,306.48,0,0,0,0,0,1,0,0,0,0,4680
0.00021,7.6667e-06,0.0001,308.01,0,0,0,0,0,1,0,0,0,0,4680
0.00022,7.6667e-06,0.0001,309.67,0,0,0,0,0,1,0,0,0,0,4680
0.00023,7.6667e-06,0.0001,311.48,0,0,0,0,0,1,0,0,0,0,4680
0.00024,7.6667e-06,0.0001,313.43,0,0,0,0,0,1,0,0,0,0,4680
0.00025,7.6667e-06,0.0001,315.54,0,0,0,0,0,1,0,0,0,0,4680
0.00026,7.6667e-06,0.0001,317.82,0,0,0,0,0,1,0,0,0,0,4680
0.00027,7.6667e-06,0.0001,320.28,0,0,0,0,0,1,0,0,0,0,4680
0.00028,7.6667e-06,0.0001,322.93,0,0,0,0,0,1,0,0,0,0,4680
0.00029,7.6667e-06,0.0001,325.79,0,0,0,0,0,1,0,0,0,0,4680
0.0003,7.6667e-06,0.0001,328.87,0,0,0,0,0,1,0,0,0,0,4680
0.00031,7.6667e-06,0.0001,332.2,0,0,0,0,0,1,0,0,0,0,4680
0.00032,7.6667e-06,0.0001,335.77,0,0,0,0,0,1,0,0,0,0,4680
0.00033,7.6667e-06,0.0001,339.63,0,0,0,0,0,1,0,0,0,0,4680
0.00034,7.6667e-06,0.0001,343.78,0,0,0,0,0,1,0,0,0,0,4680
0.00035,7.6667e-06,0.0001,348.26,0,0,0,0,0,1,0,0,0,0,4680
0.00036,7.6667e-06,0.0001,353.08,0,0,0,0,0,1,0,0,0,0,4680
0.00037,7.6667e-06,0.0001,358.27,0,0,0,0,0,1,0,0,0,0,4680
0.00038,7.6667e-06,0.0001,363.87,0,0,0,0,0,1,0,0,0,0,4680
0.00039,7.6667e-06,0.0001,369.89,0,0,0,0,0,1,0,0,0,0,4680
0.0004,7.6667e-06,0.0001,376.38,0,0,0,0,0,1,0,0,0,0,4680
0.00041,7.6667e-06,0.0001,383.36,0,0,0,0,0,1,0,0,0,0,4680
0.00042,7.6667e-06,0.0001,390.86,0,0,0,0,0,1,0,0,0,0,4680
0.00043,7.6667e-06,0.0001,398.9,0,0,0,0,0,1,0,0,0,0,4680
0.00044,7.6667e-06,0.0001,407.53,0,0,0,0,0,1,0,0,0,0,4680
0.00045,7.6667e-06,0.0001,416.75,0,0,0,0,0,1,0,0,0,0,4680
0.00046,7.6667e-06,0.0001,426.58,0,0,0,0,0,1,0,0,0,0,4680
0.00047,7.6667e-06,0.0001,437.05,0,0,0,0,0,1,0,0,0,0,4680
0.00048,7.6667e-06,0.0001,448.14,0,0,0,0,0,1,0,0,0,0,4680
0.00049,7.6667e-06,0.0001,459.87,0,0,0,0,0,1,0,0,0,0,4680
0.0005,7.6667e-06,0.0001,472.23,0,0,0,0,0,1,0,0,0,0,4680
0.00051,7.6667e-06,0.0001,485.2,0,0,0,0,0,1,0,0,0,0,4680
0.00052,7.6667e-06,0.0001,498.75,0,0,0,0,0,1,0,0,0,0,4680
0.00053,7.6667e-06,0.0001,512.82,0,0,0,0,0,1,0,0,0,0,4680
0.00054,7.6667e-06,0.0001,527.33,0,0,0,0,0,1,0,0,0,0,4680
0.00055,7.6667e-06,0.0001,542.13,0,0,0,0,0,1,0,0,0,0,4680
0.00056,7.6667e-06,0.0001,557.01,0,0,0,0,0,1,0,0,0,0,4680
0.00057,7.6667e-06,0.0001,571.61,0,0,0,0,0,1,0,0,0,0,4680
0.00058,7.6667e-06,0.0001,585.4,0,0,0,0,0,1,0,0,0,0,4680
0.00059,7.6667e-06,0.0001,597.58,0,0,0,0,0,1,0,0,0,0,4680
0.0006,7.6667e-06,0.0001,607.07,0,0,0,0,0,1,0,0,0,0,4680
0.00061,7.6667e-06,0.0001,612.45,0,0,0,0,0,1,0,0,0,0,4680
0.00062,7.6667e-06,0.0001,612.12,0,0,0,0,0,1,0,0,0,0,4680
0.00063,7.6667e-06,0.0001,604.65,0,0,0,0,0,1,0,0,0,0,4680
0.00064,7.6667e-06,0.0001,589.09,0,0,0,0,0,1,0,0,0,0,4680
0.00065,7.6667e-06,0.0001,565.42,0,0,0,0,0,1,0,0,0,0,4680
0.00066,7.6667e-06,0.0001,534.66,0,0,0,0,0,1,0,0,0,0,4680
0.00067,7.6667e-06,0.0001,498.95,0,0,0,0,0,1,0,0,0,0,4680
0.00068,7.6667e-06,0.0001,461.16,0,0,0,0,0,1,0,0,0,0,4680
0.00069,7.6667e-06,0.0001,424.38,0,0,0,0,0,1,0,0,0,0,4680
0.0007,7.6667e-06,0.0001,391.21,0,0,0,0,0,1,0,0,0,0,4680
0.00071,7.6667e-06,0.0001,363.37,0,0,0,0,0,1,0,0,0,0,4680
0.00072,7.6667e-06,0.0001,341.5,0,0,0,0,0,1,0,0,0,0,4680
0.00073,7.6667e-06,0.0001,325.29,0,0,0,0,0,1,0,0,0,0,4680
0.00074,7.6667e-06,0.0001,313.89,0,0,0,0,0,1,0,0,0,0,4680
0.00075,7.6667e-06,0.0001,306.21,0,0,0,0,0,1,0,0,0,0,4680
0.00076,7.6667e-06,0.0001,301.22,0,0,0,0,0,1,0,0,0,0,4680
