"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00074,0,0.0001,296.18,0,0,0,0,0,1,0,0,0,0,4680
0.00074,3.8333e-06,0.0001,305.04,0,0,0,0,0,1,0,0,0,0,4680
0.00075,0,0.0001,295.07,0,0,0,0,0,1,0,0,0,0,4680
0.00075,3.8333e-06,0.0001,300.71,0,0,0,0,0,1,0,0,0,0,4680
0.00076,0,0.0001,294.34,0,0,0,0,0,1,0,0,0,0,4680
0.00076,3.8333e-06,0.0001,297.88,0,0,0,0,0,1,0,0,0,0,4680
0.00077,0,0.0001,293.88,0,0,0,0,0,1,0,0,0,0,4680
0.00077,3.8333e-06,0.0001,296.07,0,0,0,0,0,1,0,0,0,0,4680
0.00078,0,0.0001,293.6,0,0,0,0,0,1,0,0,0,0,4680
0.00078,3.8333e-06,0.0001,294.94,0,0,0,0,0,1,0,0,0,0,4680
0.00079,0,0.0001,293.42,0,0,0,0,0,1,0,0,0,0,4680
0.00079,3.8333e-06,0.0001,294.24,0,0,0,0,0,1,0,0,0,0,4680
0.0008,0,0.0001,293.31,0,0,0,0,0,1,0,0,0,0,4680
0.0008,3.8333e-06,0.0001,293.81,0,0,0,0,0,1,0,0,0,0,4680
0.00081,0,0.0001,293.25,0,0,0,0,0,1,0,0,0,0,4680
0.00081,3.8333e-06,0.0001,293.55,0,0,0,0,0,1,0,0,0,0,4680
0.00082,0,0.0001,293.21,0,0,0,0,0,1,0,0,0,0,4680
0.00082,3.8333e-06,0.0001,293.39,0,0,0,0,0,1,0,0,0,0,4680
0.00083,0,0.0001,293.19,0,0,0,0,0,1,0,0,0,0,4680
0.00083,3.8333e-06,0.0001,293.29,0,0,0,0,0,1,0,0,0,0,4680
0.00084,0,0.0001,293.17,0,0,0,0,0,1,0,0,0,0,4680
0.00084,3.8333e-06,0.0001,293.23,0,0,0,0,0,1,0,0,0,0,4680
0.00085,0,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00085,3.8333e-06,0.0001,293.2,0,0,0,0,0,1,0,0,0,0,4680
0.00086,0,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00086,3.8333e-06,0.0001,293.18,0,0,0,0,0,1,0,0,0,0,4680
0.00087,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00087,3.8333e-06,0.0001,293.17,0,0,0,0,0,1,0,0,0,0,4680
0.00088,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00088,3.8333e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.00089,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00089,3.8333e-06,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
0.0009,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.0009,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00091,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00091,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00092,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00092,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00093,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00093,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00094,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00094,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00095,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00095,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00096,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00096,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00097,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00097,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00098,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00098,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00099,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.00099,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.001,0,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
0.001,3.8333e-06,0.0001,293.15,0,0,0,0,0,1,0,0,0,0,4680
1e-05,7.6667e-06,0.0001,293.42,0,0,0,0,0,1,0,0,0,0,4680
0,7.6667e-06,0.0001,293.22,0,0,0,0,0,1,0,0,0,0,4680
2e-05,7.6667e-06,0.0001,293.7,0,0,0,0,0,1,0,0,0,0,4680
3e-05,7.6667e-06,0.0001,293.99,0,0,0,0,0,1,0,0,0,0,4680
4e-05,7.6667e-06,0.0001,294.3,0,0,0,0,0,1,0,0,0,0,4680
5e-05,7.6667e-06,0.0001,294.63,0,0,0,0,0,1,0,0,0,0,4680
6e-05,7.6667e-06,0.0001,294.98,0,0,0,0,0,1,0,0,0,0,4680
7e-05,7.6667e-06,0.0001,295.37,0,0,0,0,0,1,0,0,0,0,4680
8e-05,7.6667e-06,0.0001,295.8,0,0,0,0,0,1,0,0,0,0,4680
9e-05,7.6667e-06,0.0001,296.27,0,0,0,0,0,1,0,0,0,0,4680
0.0001,7.6667e-06,0.0001,296.79,0,0,0,0,0,1,0,0,0,0,4680
0.00011,7.6667e-06,0.0001,297.36,0,0,0,0,0,1,0,0,0,0,4680
0.00012,7.6667e-06,0.0001,298,0,0,0,0,0,1,0,0,0,0,4680
0.00013,7.6667e-06,0.0001,298.7,0,0,0,0,0,1,0,0,0,0,4680
0.00014,7.6667e-06,0.0001,299.47,0,0,0,0,0,1,0,0,0,0,4680
0.00015,7.6667e-06,0.0001,300.32,0,0,0,0,0,1,0,0,0,0,4680
0.00016,7.6667e-06,0.0001,301.24,0,0,0,0,0,1,0,0,0,0,4680
0.00017,7.6667e-06,0.0001,302.26,0,0,0,0,0,1,0,0,0,0,4680
0.00018,7.6667e-06,0.0001,303.36,0,0,0,0,0,1,0,0,0,0,4680
0.00019,7.6667e-06,0.0001,304.57,0,0,0,0,0,1,0,0,0,0,4680
0.0002,7.6667e-06,0.0001,305.88,0,0,0,0,0,1,0,0,0,0,4680
